delivery_id,order_id,warehouse_id,dispatch_time,delivery_time,shipping_cost
D20000,ORD10001,WH-South,2026-03-23 06:54:00,2026-03-23 09:24:00,111.48
D20001,ORD10002,WH-Central,2026-02-16 17:25:00,2026-02-16 19:33:00,87.93
D20002,ORD10003,WH-North,2026-02-05 08:09:00,2026-02-05 11:21:00,100.14
D20003,ORD10004,WH-Central,2026-03-19 12:10:00,2026-03-19 12:51:00,66.33
D20004,ORD10005,WH-North,2026-03-17 23:00:00,2026-03-18 02:14:00,103.37
D20005,ORD10006,WH-South,2026-01-27 05:36:00,,95.53
D20006,ORD10007,WH-North,2026-01-17 22:51:00,2026-01-17 23:48:00,83.74
D20007,ORD10008,WH-Central,2026-01-24 23:13:00,2026-01-24 23:50:00,116.93
D20008,ORD10009,WH-West,2026-03-01 16:26:00,2026-03-01 20:09:00,66.63
D20009,ORD10010,WH-East,2026-03-02 10:58:00,2026-03-02 13:39:00,37.44
D20010,ORD10011,WH-West,2026-01-27 19:30:00,,40.04
D20011,ORD10012,WH-South,2026-01-13 22:41:00,,106.19
D20012,ORD10013,WH-North,2026-02-23 13:51:00,,105.3
D20013,ORD10014,WH-North,2026-02-14 04:22:00,2026-02-14 07:18:00,55.49
D20014,ORD10015,WH-West,2026-03-26 03:20:00,2026-03-26 08:19:00,60.75
D20015,ORD10016,WH-Central,2026-03-27 15:25:00,2026-03-27 15:58:00,70.79
D20016,ORD10017,WH-North,2026-03-29 18:17:00,2026-03-29 20:25:00,57.65
D20017,ORD10018,WH-North,2026-02-16 19:23:00,2026-02-17 00:09:00,74.13
D20018,ORD10019,WH-West,2026-02-04 12:12:00,2026-02-04 17:02:00,107.55
D20019,ORD10020,WH-East,2026-03-22 04:25:00,2026-03-22 06:38:00,39.96
D20020,ORD10021,WH-West,2026-02-21 09:22:00,2026-02-21 14:05:00,41.53
D20021,ORD10022,WH-South,2026-02-05 19:46:00,2026-02-05 22:39:00,73.01
D20022,ORD10023,WH-West,2026-03-09 14:28:00,2026-03-09 17:25:00,110.43
D20023,ORD10024,WH-Central,2026-02-14 23:53:00,2026-02-15 04:39:00,85.12
D20024,ORD10025,WH-North,2026-01-22 14:24:00,2026-01-22 18:23:00,58.16
D20025,ORD10026,WH-West,2026-03-21 01:27:00,2026-03-21 02:08:00,116.31
D20026,ORD10027,WH-North,2026-03-13 10:31:00,2026-03-13 14:17:00,45.81
D20027,ORD10028,WH-South,2026-02-08 22:52:00,2026-02-09 03:30:00,103.15
D20028,ORD10029,WH-West,2026-01-02 05:11:00,2026-01-02 08:17:00,96.53
D20029,ORD10030,WH-East,2026-02-25 10:50:00,2026-02-25 11:31:00,91.6
D20030,ORD10031,WH-West,2026-02-24 11:44:00,2026-02-24 16:31:00,80.54
D20031,ORD10032,WH-East,2026-03-04 03:10:00,2026-03-04 04:26:00,51.86
D20032,ORD10033,WH-East,2026-02-23 19:42:00,2026-02-23 23:58:00,34.93
D20033,ORD10034,WH-West,2026-02-25 14:41:00,2026-02-25 16:12:00,104.47
D20034,ORD10035,WH-Central,2026-03-08 18:07:00,2026-03-08 19:31:00,68.62
D20035,ORD10036,WH-Central,2026-02-02 09:36:00,2026-02-02 14:12:00,117.85
D20036,ORD10037,WH-North,2026-01-01 05:39:00,2026-01-01 06:45:00,65.89
D20037,ORD10038,WH-West,2026-01-16 04:27:00,2026-01-16 05:18:00,56.23
D20038,ORD10039,WH-Central,2026-01-13 06:57:00,2026-01-13 09:02:00,63.72
D20039,ORD10040,WH-Central,2026-01-25 13:36:00,2026-01-25 14:35:00,95.86
D20040,ORD10041,WH-Central,2026-02-28 04:59:00,2026-02-28 08:07:00,69.56
D20041,ORD10042,WH-West,2026-03-21 13:56:00,2026-03-21 17:55:00,110.42
D20042,ORD10043,WH-East,2026-01-10 14:46:00,2026-01-10 15:40:00,67.99
D20043,ORD10044,WH-West,2026-01-08 02:14:00,2026-01-08 04:55:00,92.46
D20044,ORD10045,WH-North,2026-01-24 07:20:00,2026-01-24 08:46:00,112.97
D20045,ORD10046,WH-North,2026-01-01 10:02:00,2026-01-01 13:35:00,45.15
D20046,ORD10047,WH-East,2026-03-01 04:55:00,2026-03-01 08:46:00,94.61
D20047,ORD10048,WH-West,2026-01-28 00:05:00,2026-01-28 03:52:00,111.49
D20048,ORD10049,WH-West,2026-03-07 16:14:00,2026-03-07 17:27:00,41.8
D20049,ORD10050,WH-South,2026-01-09 04:24:00,2026-01-09 05:45:00,93.13
D20050,ORD10051,WH-West,2026-01-23 03:20:00,2026-01-23 04:13:00,31.21
D20051,ORD10052,WH-South,2026-03-10 13:11:00,2026-03-10 17:01:00,63.67
D20052,ORD10053,WH-Central,2026-01-16 22:44:00,2026-01-17 02:58:00,80.14
D20053,ORD10054,WH-North,2026-01-19 00:24:00,2026-01-19 04:48:00,94.66
D20054,ORD10055,WH-South,2026-03-30 17:49:00,2026-03-30 20:12:00,79.81
D20055,ORD10056,WH-South,2026-03-28 04:01:00,2026-03-28 08:14:00,82.52
D20056,ORD10057,WH-East,2026-03-03 09:20:00,2026-03-03 11:37:00,114.02
D20057,ORD10058,WH-South,2026-03-12 23:59:00,2026-03-13 04:12:00,77.49
D20058,ORD10059,WH-South,2026-02-02 04:20:00,2026-02-02 06:43:00,45.28
D20059,ORD10060,WH-South,2026-01-09 23:13:00,2026-01-10 02:06:00,76.78
D20060,ORD10061,WH-North,2026-02-13 08:13:00,2026-02-13 09:24:00,43.35
D20061,ORD10062,WH-Central,2026-03-25 02:57:00,2026-03-25 06:08:00,82.45
D20062,ORD10063,WH-North,2026-03-02 13:38:00,,109.15
D20063,ORD10064,WH-West,2026-03-01 01:15:00,,65.12
D20064,ORD10065,WH-North,2026-03-30 20:11:00,,83.17
D20065,ORD10066,WH-West,2026-03-30 19:53:00,2026-03-30 22:02:00,62.05
D20066,ORD10067,WH-South,2026-02-15 17:24:00,2026-02-15 22:05:00,105.88
D20067,ORD10068,WH-South,2026-02-10 13:47:00,2026-02-10 14:41:00,110.98
D20068,ORD10069,WH-South,2026-01-24 21:42:00,2026-01-25 00:05:00,64.1
D20069,ORD10070,WH-South,2026-01-01 16:21:00,,87.31
D20070,ORD10071,WH-Central,2026-01-16 23:23:00,2026-01-17 00:23:00,72.92
D20071,ORD10072,WH-North,2026-02-26 04:59:00,,68.37
D20072,ORD10073,WH-Central,2026-01-06 23:47:00,2026-01-07 02:12:00,109.2
D20073,ORD10074,WH-West,2026-01-24 06:54:00,2026-01-24 08:07:00,84.45
D20074,ORD10075,WH-West,2026-01-21 08:37:00,,114.71
D20075,ORD10076,WH-North,2026-03-26 11:21:00,2026-03-26 15:39:00,87.65
D20076,ORD10077,WH-East,2026-02-06 07:13:00,2026-02-06 11:51:00,68.02
D20077,ORD10078,WH-North,2026-01-19 01:08:00,2026-01-19 02:58:00,33.02
D20078,ORD10079,WH-East,2026-03-02 03:40:00,2026-03-02 07:51:00,75.14
D20079,ORD10080,WH-West,2026-01-26 13:33:00,,104.15
D20080,ORD10081,WH-South,2026-01-08 16:41:00,2026-01-08 19:21:00,86.01
D20081,ORD10082,WH-West,2026-01-12 14:51:00,2026-01-12 16:04:00,95.38
D20082,ORD10083,WH-West,2026-01-14 19:01:00,,104.22
D20083,ORD10084,WH-South,2026-01-10 10:13:00,2026-01-10 13:57:00,114.81
D20084,ORD10085,WH-Central,2026-03-19 00:43:00,2026-03-19 04:48:00,116.68
D20085,ORD10086,WH-Central,2026-03-07 13:16:00,2026-03-07 17:25:00,70.53
D20086,ORD10087,WH-East,2026-03-29 14:55:00,,107.88
D20087,ORD10088,WH-South,2026-02-15 01:21:00,2026-02-15 04:03:00,83.38
D20088,ORD10089,WH-North,2026-01-10 09:05:00,2026-01-10 13:22:00,90.4
D20089,ORD10090,WH-West,2026-03-16 17:31:00,2026-03-16 19:50:00,34.65
D20090,ORD10091,WH-Central,2026-01-08 05:51:00,2026-01-08 07:54:00,76.12
D20091,ORD10092,WH-North,2026-03-27 03:34:00,2026-03-27 04:27:00,68.96
D20092,ORD10093,WH-Central,2026-01-03 09:05:00,2026-01-03 13:31:00,96.12
D20093,ORD10094,WH-East,2026-01-23 19:36:00,2026-01-24 00:32:00,62.72
D20094,ORD10095,WH-Central,2026-02-22 17:29:00,2026-02-22 21:48:00,109.16
D20095,ORD10096,WH-West,2026-03-28 03:17:00,2026-03-28 04:17:00,57.3
D20096,ORD10097,WH-East,2026-03-20 07:41:00,2026-03-20 09:46:00,60.96
D20097,ORD10098,WH-West,2026-01-14 14:57:00,2026-01-14 15:30:00,36.73
D20098,ORD10099,WH-West,2026-01-14 13:28:00,,113.38
D20099,ORD10100,WH-North,2026-01-30 16:01:00,2026-01-30 19:49:00,99.45
D20100,ORD10101,WH-East,2026-03-16 01:32:00,2026-03-16 04:01:00,40.88
D20101,ORD10102,WH-North,2026-01-16 09:19:00,2026-01-16 10:51:00,97.0
D20102,ORD10103,WH-Central,2026-03-28 18:26:00,2026-03-28 20:37:00,104.6
D20103,ORD10104,WH-Central,2026-02-11 06:32:00,,82.55
D20104,ORD10105,WH-South,2026-01-26 07:09:00,,79.51
D20105,ORD10106,WH-East,2026-03-17 02:06:00,2026-03-17 04:15:00,33.35
D20106,ORD10107,WH-West,2026-01-26 18:53:00,2026-01-26 23:32:00,76.67
D20107,ORD10108,WH-East,2026-01-18 04:32:00,2026-01-18 05:33:00,75.99
D20108,ORD10109,WH-West,2026-02-19 01:19:00,2026-02-19 03:49:00,84.27
D20109,ORD10110,WH-Central,2026-02-06 19:11:00,,96.96
D20110,ORD10111,WH-West,2026-02-07 09:33:00,2026-02-07 11:42:00,50.44
D20111,ORD10112,WH-East,2026-03-09 19:33:00,2026-03-09 22:23:00,76.12
D20112,ORD10113,WH-Central,2026-02-20 05:44:00,2026-02-20 10:22:00,79.68
D20113,ORD10114,WH-West,2026-02-21 17:16:00,2026-02-21 21:00:00,63.68
D20114,ORD10115,WH-North,2026-03-18 02:01:00,2026-03-18 03:13:00,45.56
D20115,ORD10116,WH-West,2026-03-15 20:21:00,2026-03-16 00:03:00,108.73
D20116,ORD10117,WH-North,2026-01-28 23:04:00,,74.99
D20117,ORD10118,WH-East,2026-02-05 13:53:00,2026-02-05 16:10:00,108.03
D20118,ORD10119,WH-North,2026-03-24 13:04:00,2026-03-24 15:15:00,89.29
D20119,ORD10120,WH-South,2026-03-12 00:35:00,2026-03-12 03:57:00,81.53
D20120,ORD10121,WH-South,2026-01-14 17:10:00,2026-01-14 19:40:00,59.99
D20121,ORD10122,WH-West,2026-03-18 03:48:00,2026-03-18 07:26:00,30.79
D20122,ORD10123,WH-East,2026-01-23 16:48:00,2026-01-23 19:57:00,113.07
D20123,ORD10124,WH-North,2026-01-30 06:52:00,2026-01-30 09:20:00,117.15
D20124,ORD10125,WH-North,2026-02-14 05:13:00,2026-02-14 07:32:00,35.51
