order_id,customer_id,product_id,order_date,discount_applied,order_status
ORD10001,C5093,P1044,23-03-2026 05:54,0.05,Delivered
ORD10002,C6030,P1068,16-02-2026 17:09,0.05,Delivered
ORD10003,C6368,P1045,05-02-2026 07:25,0,Delivered
ORD10004,C4561,P1042,19-03-2026 11:36,0.05,Delivered
ORD10005,C2643,P1065,17-03-2026 22:09,0,Delivered
ORD10006,C7518,P1066,27-01-2026 04:15,0,Returned
ORD10007,C8921,P1034,17-01-2026 21:04,0.2,Delivered
ORD10008,C1139,P1094,24-01-2026 21:47,0.1,Delivered
ORD10009,C7314,P1039,01-03-2026 15:16,0.1,Delivered
ORD10010,C3613,P1023,02-03-2026 10:31,0.05,Delivered
ORD10011,C6570,P1001,27-01-2026 18:03,0.05,Returned
ORD10012,C8862,P1059,13-01-2026 20:43,0.05,Cancelled
ORD10013,C6224,P1029,23-02-2026 13:00,0.1,Returned
ORD10014,C3358,P1039,14-02-2026 02:55,0,Delivered
ORD10015,C8459,P1023,26-03-2026 02:54,0.2,Delivered
ORD10016,C5575,P1024,27-03-2026 13:47,0.1,Delivered
ORD10017,C6457,P1056,29-03-2026 16:18,0,Delivered
ORD10018,C2407,P1087,16-02-2026 17:29,0.05,Delivered
ORD10019,C6864,P1052,04-02-2026 10:49,0.1,Delivered
ORD10020,C2891,P1053,22-03-2026 02:44,0,Delivered
ORD10021,C6333,P1092,21-02-2026 08:30,0.2,Delivered
ORD10022,C2040,P1043,05-02-2026 19:17,0.1,Delivered
ORD10023,C6808,P1057,09-03-2026 13:41,0.1,Delivered
ORD10024,C2022,P1058,14-02-2026 22:10,0,Delivered
ORD10025,C8417,P1072,22-01-2026 12:32,0.05,Delivered
ORD10026,C8757,P1024,21-03-2026 00:52,0,Delivered
ORD10027,C1385,P1011,13-03-2026 09:09,0.15,Delivered
ORD10028,C4483,P1010,08-02-2026 21:12,0.05,Delivered
ORD10029,C1633,P1043,02-01-2026 04:14,0.1,Delivered
ORD10030,C2403,P1053,25-02-2026 09:25,0,Delivered
ORD10031,C7361,P1055,24-02-2026 11:29,0,Delivered
ORD10032,C3879,P1013,04-03-2026 02:20,0.05,Delivered
ORD10033,C5501,P1088,23-02-2026 18:52,0.1,Delivered
ORD10034,C3318,P1093,25-02-2026 13:52,0.1,Delivered
ORD10035,C7708,P1036,08-03-2026 16:30,0.05,Delivered
ORD10036,C4665,P1044,02-02-2026 08:48,0,Delivered
ORD10037,C6125,P1098,01-01-2026 04:11,0.05,Delivered
ORD10038,C7287,P1040,16-01-2026 03:45,0.05,Delivered
ORD10039,C8765,P1053,13-01-2026 05:46,0.15,Delivered
ORD10040,C9684,P1075,25-01-2026 12:03,0.05,Delivered
ORD10041,C4629,P1100,28-02-2026 04:28,0.05,Delivered
ORD10042,C8458,P1023,21-03-2026 12:14,0.1,Delivered
